name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
ABReal_90_10_70,90,10,70,2,0,0,0,0,0,0,46,212,539,1,0,0,0,576,3357,6339,10150,2603,0,0,782,20828,104801,259025,36375,3500,86,202,8422,175508,1587180,709802,100765,1567,78,3078,58199,766909,1242549,576087,33722,36,1374,26450,326006,444319,244910,49274,
ABReal_90_10_95,90,10,95,2,0,0,0,0,0,0,45,201,504,1,0,0,0,328,3188,6243,8882,2575,0,0,71,2892,50164,250315,34812,2966,86,27,947,16306,184802,305440,98038,1387,10,416,7537,83789,109522,58801,12980,3,121,2324,28312,39657,20037,3544,
ABReal_90_15_15,90,15,15,2,0,0,0,0,0,0,46,212,539,1,0,0,0,325,2424,6340,10150,2603,0,0,950,10923,52086,147237,36375,3500,86,1195,19505,221817,819617,347413,51481,1567,656,25360,337314,1866568,1691197,295391,16749,262,11661,249479,2815199,2736248,629497,67886,
ABReal_90_15_70,90,15,70,2,0,0,0,0,0,0,46,212,539,1,0,0,0,312,2361,6339,10150,2603,0,0,298,8431,48547,144317,36375,3500,86,101,3616,65499,589821,318987,50946,1567,38,1475,26894,319069,447325,200728,15271,12,514,10646,138479,188984,95372,16359,
ABReal_90_15_95,90,15,95,2,0,0,0,0,0,0,45,201,504,1,0,0,0,123,2108,6243,8882,2575,0,0,36,1204,18674,123677,34812,2966,86,12,431,7310,77793,111363,42737,1387,1,76,2020,29762,45132,23076,4418,0,3,106,2304,6991,5783,1291,
ABReal_90_20_15,90,20,15,2,0,0,0,0,0,0,46,212,539,1,0,0,0,285,2199,6340,10150,2603,0,0,703,9524,45847,131908,36375,3500,86,815,13921,162427,716108,310471,45501,1567,379,15070,227673,1343193,1203032,259918,15003,138,6736,144071,1700783,1812173,456456,46241,
ABReal_90_20_70,90,20,70,2,0,0,0,0,0,0,46,212,539,1,0,0,0,272,2131,6339,10150,2603,0,0,166,5740,42220,128958,36375,3500,86,58,2121,37994,393777,281497,44956,1567,24,923,16628,193800,267420,127656,13498,9,360,6891,84612,113338,55881,9541,
ABReal_90_20_95,90,20,95,2,0,0,0,0,0,0,45,201,504,1,0,0,0,77,1740,6243,8882,2575,0,0,17,639,10707,95250,34812,2966,86,9,299,4687,46858,63256,31135,1387,0,15,734,12507,23472,12780,2480,0,0,7,287,1936,2362,633,
ABReal_90_500_15,90,500,15,1,0,0,0,0,0,0,6,108,309,1,0,0,0,10,149,1335,4621,801,0,0,7,200,2456,13662,9028,884,25,4,151,2140,16563,16754,4263,300,3,99,1541,16351,20362,6096,812,0,1,290,9970,16724,6207,998,
ABReal_90_500_70,90,500,70,1,0,0,0,0,0,0,6,108,309,1,0,0,0,5,120,1256,4621,801,0,0,0,1,77,2886,6538,884,25,0,0,0,2,57,567,250,0,0,0,0,0,1,4,0,0,0,0,0,0,0,
ABReal_90_500_95,90,500,95,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
