name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFReal_90_1_95,90,1,95,0,0,0,0,0,0,0,38,64,0,0,0,0,0,808,3138,6039,1343,0,0,0,30534,499035,144952,200712,40458,535,0,29937,877941,11821556,65966544,1025119,74435,1638,22530,795809,12667091,125410999,120965727,28292316,48617,17911,656032,11810311,129922673,137290543,49690814,5717163,
AFReal_90_5_15,90,5,15,0,0,0,0,0,0,0,38,64,0,0,0,0,0,858,3176,6039,1343,0,0,0,3587,44433,156142,202312,40458,535,0,13680,155356,1017673,3989402,1116878,74991,1638,29824,535498,4959976,17950078,8749211,1540154,53840,14593,695771,13738002,78182962,49091628,6796166,381912,
AFReal_90_5_70,90,5,70,0,0,0,0,0,0,0,38,64,0,0,0,0,0,858,3176,6039,1343,0,0,0,3484,44274,156142,202312,40458,535,0,3639,128462,988977,3978872,1116878,74991,1638,1222,54188,1197571,14589607,8485566,1535959,53839,600,24587,523826,7272589,11251227,5475402,370511,
AFReal_90_5_95,90,5,95,0,0,0,0,0,0,0,38,64,0,0,0,0,0,808,3138,6039,1343,0,0,0,1116,32874,144952,200712,40458,535,0,349,14138,284119,2862959,1025119,74435,1638,144,5689,111952,1484592,2344333,1101558,48617,92,3393,64707,784135,1044648,549937,104432,
AFReal_90_10_15,90,10,15,0,0,0,0,0,0,0,38,64,0,0,0,0,0,858,3176,6039,1343,0,0,0,2566,31461,156142,202312,40458,535,0,7840,78327,682930,2677521,1116878,74991,1638,7101,279937,2667925,8709867,5604805,1016258,53840,2800,139987,3142236,38983050,25807994,3270822,242726,
AFReal_90_10_70,90,10,70,0,0,0,0,0,0,0,38,64,0,0,0,0,0,858,3176,6039,1343,0,0,0,2451,31301,156142,202312,40458,535,0,915,38437,650272,2666967,1116878,74991,1638,290,13181,281308,3983761,5304884,1012048,53839,107,4729,110218,1626962,2563072,1451939,229812,
AFReal_90_10_95,90,10,95,0,0,0,0,0,0,0,38,64,0,0,0,0,0,808,3138,6039,1343,0,0,0,289,11611,144952,200712,40458,535,0,89,3473,69996,876776,1025119,74435,1638,29,1213,24177,327847,539585,324826,48617,9,376,7863,110687,178765,111452,23304,
AFReal_90_15_15,90,15,15,0,0,0,0,0,0,0,38,64,0,0,0,0,0,571,3176,6039,1343,0,0,0,1369,19330,100396,202312,40458,535,0,4088,60821,363381,1601580,702430,74991,1638,2916,110971,1346024,6806269,2944274,603187,35463,1298,59622,1280858,15032898,12720933,2426923,122816,
AFReal_90_15_70,90,15,70,0,0,0,0,0,0,0,38,64,0,0,0,0,0,571,3176,6039,1343,0,0,0,1159,19134,100396,202312,40458,535,0,458,17952,306177,1587110,702430,74991,1638,158,7032,147152,1901231,2442624,597446,35462,58,2486,57325,846454,1335678,678414,101386,
AFReal_90_15_95,90,15,95,0,0,0,0,0,0,0,38,64,0,0,0,0,0,469,3138,6039,1343,0,0,0,141,5708,80093,200712,40458,535,0,50,1904,37203,439757,539347,74435,1638,14,635,13290,181636,295709,167560,26122,7,268,4951,61621,95172,59472,12678,
AFReal_90_20_15,90,20,15,0,0,0,0,0,0,0,38,64,0,0,0,0,0,491,3176,6039,1343,0,0,0,1122,17468,88614,202312,40458,535,0,3466,57911,301348,1445693,627062,74991,1638,1907,79035,1137701,6507246,2470410,545738,32255,852,38986,873643,10795781,10704041,2299390,102222,
AFReal_90_20_70,90,20,70,0,0,0,0,0,0,0,38,64,0,0,0,0,0,491,3176,6039,1343,0,0,0,850,17258,88614,202312,40458,535,0,310,12114,226644,1430260,627062,74991,1638,99,4809,103316,1353196,1835731,539696,32254,31,1606,38206,569400,938518,481380,75475,
AFReal_90_20_95,90,20,95,0,0,0,0,0,0,0,38,64,0,0,0,0,0,353,3138,6039,1343,0,0,0,95,3796,61010,200712,40458,535,0,30,1291,26863,316858,412448,74435,1638,8,344,7715,113464,207638,122503,20195,5,185,3298,38761,57951,37964,8788,
AFReal_90_500_15,90,500,15,0,0,0,0,0,0,0,16,64,0,0,0,0,0,51,732,2767,1343,0,0,0,105,2227,9652,54855,15831,535,0,38,1648,26117,178367,66336,19072,605,16,677,13259,178172,216253,65572,3084,5,243,7117,95018,127804,66040,8594,
AFReal_90_500_70,90,500,70,0,0,0,0,0,0,0,16,64,0,0,0,0,0,34,732,2767,1343,0,0,0,10,386,7407,54855,15831,535,0,5,169,3270,33728,50807,19072,605,2,92,1800,23129,33683,15378,2089,0,0,4,1910,13899,10074,1695,
AFReal_90_500_95,90,500,95,0,0,0,0,0,0,0,14,64,0,0,0,0,0,7,201,2388,1343,0,0,0,1,73,1151,11831,13315,535,0,0,0,6,1590,9568,5251,535,0,0,0,0,10,650,510,0,0,0,0,0,0,3,
