id	e	k	m	t
85	3	11	50096507	31664.0
86	3	11	47467349	30207.0
87	3	11	51600494	34822.0
88	3	11	51148883	33595.0
89	3	11	98322534	64115.0
90	3	11	53381030	34858.0
91	3	11	44288363	29895.0
92	3	11	51951065	34666.0
93	3	11	50716003	26771.0
94	3	11	53406855	33654.0
95	3	11	22086572	15298.0
96	3	11	48447520	33513.0
97	3	11	47680649	33000.0
98	3	11	53236147	35743.0
99	3	11	64139824	42503.0
0	3	12	52799030	33906.0
1	3	12	54380255	37751.0
2	3	12	48006281	32292.0
3	3	12	50089209	34560.0
4	3	12	57875471	38673.0
5	3	12	36992531	20798.0
6	3	12	55629231	36934.0
7	3	12	48647675	29999.0
8	3	12	62911471	38365.0
9	3	12	32725112	20843.0
10	3	12	78976639	51154.0
11	3	12	73297253	50138.0
12	3	12	23026696	15709.0
13	3	12	43068458	30354.0
14	3	12	61826809	43851.0
15	3	12	81603521	46699.0
16	3	12	73413627	49667.0
17	3	12	72278240	45538.0
18	3	12	67165002	40286.0
19	3	12	97765884	69995.0
20	3	12	11172835	5503.0
21	3	12	13836117	7070.0
22	3	12	36239871	24326.0
23	3	12	51855255	34750.0
24	3	12	59218996	36168.0
25	3	12	53952805	37077.0
26	3	12	35833233	24310.0
27	3	12	10335147	6444.0
28	3	12	60678328	38164.0
29	3	12	43027368	30326.0
30	3	12	56344188	38366.0
31	3	12	41491731	23568.0
32	3	12	52783332	36864.0
33	3	12	39453490	24756.0
34	3	12	53250427	36704.0
35	3	12	40474363	27672.0
36	3	12	63713930	41291.0
37	3	12	58629652	33213.0
38	3	12	85301126	60401.0
39	3	12	52151473	34876.0
40	3	12	51859838	33101.0
41	3	12	58460858	37422.0
42	3	12	110403126	58585.0
43	3	12	69506166	44322.0
44	3	12	50114168	33329.0
45	3	12	62181283	42685.0
46	3	12	56417232	36030.0
47	3	12	79011041	42861.0
48	3	12	25014204	15900.0
49	3	12	19004996	9583.0
50	3	12	98454097	53469.0
51	3	12	31759897	19084.0
52	3	12	95186724	51626.0
53	3	12	38558120	24576.0
54	3	12	49079535	29567.0
55	3	12	122718969	79702.0
56	3	12	54647645	33704.0
57	3	12	56699620	36332.0
58	3	12	53058378	30269.0
59	3	12	54069688	33912.0
60	3	12	53433657	33460.0
61	3	12	61932426	41620.0
62	3	12	54879895	34991.0
63	3	12	64157731	37783.0
64	3	12	81517977	50786.0
65	3	12	86621823	49308.0
66	3	12	56203885	36569.0
67	3	12	66001027	37861.0
68	3	12	83918611	50387.0
69	3	12	81509312	48009.0
70	3	12	60643832	37829.0
71	3	12	47069267	30076.0
72	3	12	52842616	33621.0
73	3	12	74256645	40950.0
74	3	12	44920401	28672.0
75	3	12	17681101	11616.0
76	3	12	54673346	35845.0
77	3	12	40266043	26090.0
78	3	12	48419754	31164.0
79	3	12	51430594	33438.0
80	3	12	71205073	44010.0
81	3	12	73546340	49987.0
82	3	12	84411348	48986.0
83	3	12	52352179	33182.0
84	3	12	18641251	12066.0
85	3	12	54545948	33401.0
86	3	12	51627512	31974.0
87	3	12	54411543	34944.0
88	3	12	54281013	34794.0
89	3	12	106714816	67184.0
90	3	12	58103691	35359.0
91	3	12	47230113	29806.0
92	3	12	55376124	35003.0
93	3	12	63313781	30771.0
94	3	12	57351180	36325.0
95	3	12	23814717	14645.0
96	3	12	50648937	33174.0
97	3	12	50756871	32390.0
98	3	12	57303699	35891.0
99	3	12	68530338	44872.0
